epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0178,2.39538,4.02064,1.96962,0.0156,0.18808,0.01529,0.00888,1.30014,3.63009,1.1335,6.666e-05,6.666e-05,6.666e-05
2,16.4875,1.73347,3.65137,1.45126,0.04955,0.31007,0.10092,0.04319,1.89395,3.66337,1.33766,0.00014157,0.00014157,0.00014157
3,19.6901,1.50411,3.1699,1.253,0.03416,0.37423,0.11387,0.04108,1.81479,3.67366,1.32437,0.000213401,0.000213401,0.000213401
4,23.3968,1.42627,2.89179,1.19571,0.02892,0.42733,0.1409,0.07108,1.47233,3.55969,1.18999,0.000282152,0.000282152,0.000282152
5,28.6422,1.47514,2.57399,1.21728,0.02648,0.43332,0.16621,0.08455,1.31482,3.4559,1.1366,0.000347823,0.000347823,0.000347823
6,32.201,1.48058,2.31454,1.23784,0.02607,0.44303,0.19006,0.10713,1.34037,3.29728,1.14612,0.000410415,0.000410415,0.000410415
7,35.4342,1.47499,1.96771,1.23809,0.02452,0.43334,0.23485,0.14167,1.3306,3.04427,1.14596,0.000469926,0.000469926,0.000469926
8,38.7625,1.43836,1.81875,1.207,0.96655,0.09631,0.26022,0.15179,1.33596,2.87925,1.15247,0.000526358,0.000526358,0.000526358
9,42.8508,1.44158,1.70721,1.19421,0.9599,0.20612,0.36271,0.22387,1.35261,2.52116,1.15111,0.000579711,0.000579711,0.000579711
10,47.6296,1.36317,1.63965,1.1761,0.9412,0.24842,0.39629,0.24547,1.32057,2.37824,1.13444,0.000629984,0.000629984,0.000629984
11,50.8076,1.34443,1.55578,1.18106,0.92982,0.29788,0.48486,0.29658,1.34451,2.21614,1.1406,0.000677177,0.000677177,0.000677177
12,53.8892,1.37412,1.45308,1.15624,0.92453,0.36876,0.53124,0.32567,1.37166,1.86607,1.18752,0.00072129,0.00072129,0.00072129
13,57.6612,1.39778,1.49081,1.18261,0.9128,0.41225,0.53734,0.33225,1.36774,1.76799,1.18201,0.000762324,0.000762324,0.000762324
14,62.6844,1.3777,1.41044,1.17364,0.69271,0.46262,0.53151,0.34375,1.32911,1.56019,1.16888,0.000800278,0.000800278,0.000800278
15,66.2197,1.35816,1.38631,1.16996,0.68432,0.52067,0.54016,0.34697,1.2946,1.45291,1.14608,0.000803031,0.000803031,0.000803031
16,69.3261,1.29332,1.38546,1.14369,0.73186,0.55629,0.56631,0.36555,1.29933,1.34009,1.14815,0.000781033,0.000781033,0.000781033
17,72.3948,1.27995,1.349,1.13112,0.72079,0.56843,0.5771,0.37171,1.30356,1.28966,1.13876,0.000759035,0.000759035,0.000759035
18,77.2773,1.31456,1.30796,1.12156,0.77372,0.59629,0.60385,0.38567,1.25882,1.24769,1.13949,0.000737037,0.000737037,0.000737037
19,81.578,1.30947,1.32347,1.14177,0.88673,0.5469,0.63179,0.41853,1.24143,1.24644,1.13749,0.00071504,0.00071504,0.00071504
20,84.6579,1.27091,1.22154,1.10996,0.84054,0.60923,0.65405,0.44139,1.16253,1.17206,1.11809,0.000693042,0.000693042,0.000693042
21,87.8829,1.23797,1.22594,1.10096,0.82448,0.62708,0.64819,0.43686,1.13842,1.15081,1.11585,0.000671044,0.000671044,0.000671044
22,91.692,1.1839,1.25484,1.09085,0.86389,0.61069,0.66276,0.44829,1.14047,1.11485,1.09115,0.000649046,0.000649046,0.000649046
23,96.5875,1.18518,1.14606,1.07741,0.84657,0.63447,0.67177,0.46371,1.11694,1.09224,1.07796,0.000627048,0.000627048,0.000627048
24,100.066,1.18763,1.15812,1.09866,0.84628,0.63194,0.68793,0.48363,1.11571,1.05316,1.07383,0.000605051,0.000605051,0.000605051
25,102.902,1.16669,1.10425,1.08806,0.86379,0.64061,0.69712,0.48235,1.17541,1.03337,1.09085,0.000583053,0.000583053,0.000583053
26,106.359,1.11314,1.09858,1.07073,0.82976,0.65268,0.696,0.47365,1.1143,1.01497,1.07867,0.000561055,0.000561055,0.000561055
27,111.091,1.17555,1.07585,1.06688,0.87294,0.66224,0.7046,0.47757,1.12253,1.01264,1.09383,0.000539057,0.000539057,0.000539057
28,115.094,1.12504,1.05331,1.06216,0.8867,0.6775,0.73809,0.4916,1.1119,1.00968,1.07003,0.000517059,0.000517059,0.000517059
29,118.134,1.15003,1.06846,1.06544,0.86021,0.69213,0.74011,0.49371,1.09982,0.99997,1.0696,0.000495062,0.000495062,0.000495062
30,121.086,1.09689,1.02895,1.04762,0.79092,0.65844,0.73625,0.49249,1.08614,0.99176,1.08322,0.000473064,0.000473064,0.000473064
31,125.112,1.15142,1.02535,1.06439,0.83974,0.7042,0.75969,0.50946,1.10717,0.93406,1.0932,0.000451066,0.000451066,0.000451066
32,129.707,1.07558,1.00491,1.03516,0.86479,0.70332,0.7643,0.52066,1.07841,0.92601,1.07959,0.000429068,0.000429068,0.000429068
33,133.078,1.09302,0.9935,1.03949,0.81941,0.71667,0.76632,0.51826,1.07416,0.92349,1.07466,0.00040707,0.00040707,0.00040707
34,136.08,1.14966,1.01034,1.06207,0.83803,0.72835,0.76933,0.50863,1.0711,0.90949,1.08433,0.000385073,0.000385073,0.000385073
35,139.56,1.08732,0.96569,1.04606,0.90201,0.70412,0.7751,0.51155,1.06322,0.90895,1.07094,0.000363075,0.000363075,0.000363075
36,144.825,1.09488,0.99579,1.03846,0.88891,0.7125,0.77101,0.50845,1.07725,0.92348,1.07581,0.000341077,0.000341077,0.000341077
37,148.435,1.02982,0.92948,1.0177,0.88784,0.71363,0.76986,0.50399,1.06755,0.91334,1.0772,0.000319079,0.000319079,0.000319079
38,151.477,1.06121,1.02057,1.0362,0.88202,0.72549,0.78542,0.51682,1.06198,0.89416,1.08078,0.000297081,0.000297081,0.000297081
39,154.929,1.06772,0.93262,1.03951,0.88849,0.72887,0.79149,0.52013,1.07384,0.87352,1.07733,0.000275084,0.000275084,0.000275084
40,159.595,1.08441,0.94283,1.03625,0.88115,0.72945,0.79198,0.52134,1.05805,0.87088,1.06325,0.000253086,0.000253086,0.000253086
41,166.119,0.99553,0.96112,1.02447,0.88758,0.72615,0.78504,0.52529,1.03946,0.86621,1.05968,0.000231088,0.000231088,0.000231088
42,169.027,0.98028,0.92347,1.01626,0.89581,0.71321,0.78585,0.52714,1.04062,0.86757,1.0647,0.00020909,0.00020909,0.00020909
43,171.858,0.93245,0.87504,1.01466,0.88676,0.71854,0.78487,0.52595,1.04067,0.87838,1.06454,0.000187092,0.000187092,0.000187092
44,176.172,0.94295,0.88929,1.01886,0.88342,0.72436,0.77936,0.52071,1.04501,0.87443,1.05841,0.000165095,0.000165095,0.000165095
45,179.86,0.97416,0.89945,0.99621,0.8947,0.72369,0.78177,0.52417,1.04472,0.86926,1.05813,0.000143097,0.000143097,0.000143097
46,182.42,0.93317,0.86734,1.00394,0.88853,0.73514,0.78624,0.52359,1.03601,0.86239,1.05432,0.000121099,0.000121099,0.000121099
47,185.105,0.93786,0.88795,1.01103,0.89503,0.74124,0.79413,0.52887,1.0286,0.84749,1.04999,9.91012e-05,9.91012e-05,9.91012e-05
48,187.881,0.92749,0.86276,0.99771,0.90585,0.74471,0.80548,0.53718,1.03001,0.83833,1.04905,7.71034e-05,7.71034e-05,7.71034e-05
49,191.543,0.92813,0.85973,0.99191,0.90469,0.75189,0.80714,0.53982,1.0237,0.83393,1.04538,5.51056e-05,5.51056e-05,5.51056e-05
50,196.09,0.95826,0.88311,1.00455,0.90239,0.74577,0.80674,0.53902,1.01448,0.82491,1.04229,3.31078e-05,3.31078e-05,3.31078e-05
